Cooler-stand for monitor DEEPCOOL M-DESK W1,479 Сом
"PHILIPS 18,5"" 193V5LSB2,LED,BLACK 1366 x 768 16:9 HD; 10000000:1 ; 200cd/m2; 5ms,VGA",4908 Сом
"AOC 18,5"" E970SWN, LED, BLACK 1366 x 768 16:9 HD; 100000000:1; 250cd/m2; 5ms",4945 Сом
"Monitor LCD 18.5"" AOC E970SWN/01 Glossy, 1366x768, 700:1 (2000000:1), 200cd/m2, 90/65, 5ms",4945 Сом
"PHILIPS 18,5"" LED LCD TFT-TN 193V5LSB2,BLACK 1366 x 768 16:9 HD; 10000000:1 ; 5ms,VGA",5059 Сом
".ACER 19.5"" V206HQ LED 5ms,10000000:1,200 кд/м2,1600x900,90/60 VGA",5134 Сом
".DAHUA 21.5"" DHL22-L200 LED FHD 16:9/5ms/1000:1/170/160/250cd/m2/1920x1080 VGA HDMI",5814 Сом
".UNIVIEW 21.5"" MW3222-L LED FHD 16:9/5ms/1000:1/170/160/250cd/m2/1920×1080 VGA HDMI",5965 Сом
"PHILIPS 21,5"" 223V5LSB2 TN LED WIDE 1920x1080 170/160 10000000:1 5ms VGA",6078 Сом
"LED LCD 21.5"", AOC E2270SWN, Black, Full HD 1920x1080, 20000000:1, 200cd/m2, 170/170, 5ms",6116 Сом
"Monitor LCD 21.5"" AOC E2270SWN/01 Black, 1920x1080 Full HD, 700:1 (20000000:1), 200cd/m2, 110/75, 5ms, D-Sub",6116 Сом
"Monitor LCD 21.5"" AOC E2270SWHN/01 Black, 1920x1080, 700:1 (20000000:1), 200cd/m2, 110/75, 5ms, D-Sub, HDMI",6191 Сом
"ASUS 21.5"" VP228DE LED 5ms/50000000:1/90/65/1920x1080 FullHD VGA",6304 Сом
"Monitor LCD 22"", Viewsonic VA2261-2, Black, 1920x1080, 600:1(DCR50000000:1), 200cd/m2, 5ms, 90°/65°, Flicker-Free, Blue Light Filter, VGA, DVI",6304 Сом
"PHILIPS 21,5"" 223S5LSB TN LED WIDE 1920x1080 170/160 10000000:1 5ms DVI-D VGA",6342 Сом
"Monitor LCD 21.5"", Asus VP228DE Black, 1920x1080, 100M:1 (ASCR), 200cd/m2, 90/65, 5ms, VGA",6350 Сом
"ASUS 21.5"" VS229NA VA LED 5ms/80000000:1/178/178/1920x1080 FullHD DVI VGA",6455 Сом
"ASUS 21.5"" VS228DE LED 5ms/50000000:1/90/65/1920x1080 FullHD VGA",6795 Сом
"LED LCD 21.5"", Samsung S22D300NY, Black, Full HD 1920x1080, 20000000:1, 200cd/m2, 170/170, 5ms",7324 Сом
"AOC 21.5"" LED LCD E2270SWHN TN 16:9 200cd 1920 x 1080,VGA+HDMI,кабель HDMI,WALL",7550 Сом
"DAHUA 20.5"" DHL22-F600 LED 16:9/5ms/600:1/178/178/200cd/m2/1366x768 VGA HDMI Audio Speaker",7550 Сом
"LED LCD 21.5"", Samsung S22F350FHI, Black, Full HD 1920x1080, 20000000:1, 200cd/m2, 170/170, 5ms, VGA, HDMI",7550 Сом
"DAHUA 21.5"" DHL22-F600-S LED FHD 16:9/5ms/600:1/178/178/200cd/m2/1366x768 VGA HDMI Audio Speaker",7852 Сом
"PHILIPS 22"" LED LCD TFT-TN 223V5LHSB LED (21.5"") 1920x1080 10000000 - 1 5ms, VGA+HDMI ,WALL",7852 Сом
"Monitor LCD 23.6"", Viewsonic VA2407h, Black, 1920x1080, 1000:1(10000000:1), 250cd/m2, 5ms, 170°/160°, VGA, HDMI, Headphone-out",8381 Сом
"PHILIPS 23,6"" 243V5LSB TN LED WIDE 1920x1080 10000000:1 5ms VGA",8381 Сом
"Monitor LCD 23.6"", AOC 24B1H, MVA, Black, 1920x1080, 20000000 : 1, 250cd/m2, 178/178, 5ms, VGA, HDMI, выход на наушники",8418 Сом
"ASUS 23.6"" VS247HR TN LED 2ms, 50000000:1,250 кд/м2, 1920x1080, 178/178 VGA HDMI DVI",8456 Сом
"Monitor LCD 23.6"" AOC M2470SWDA2, MVA, Black, 1920x1080, 250cd/m2, 30M:1, 5ms, H178°/V178°, VGA, DVI,выход на наушники, встроенные стереоколонки",8524 Сом
"ASUS 23.6"" VP247HAE VA LED 5ms,80000000:1,250 кд/м2, 1920x1080, 178/178 VGA HDMI",8871 Сом
"Монитор LCD 23.6"", AOC 24B1H, MVA, Black, 1920x1080, 20000000 : 1, 250cd/m2, 178/178, 5ms, VGA, HDMI, HP-out ваня (7)",9145 Сом
"PHILIPS 24"" LED LCD TFT-TN 243V5LSB (23,6"") 1920x1080 10000000 - 1 5ms,WALL,VGA",9362 Сом
"Monitor LCD 23.8"", AOC 24B1XHS, IPS, Black, 1920x1080, 20000000 : 1, 250cd/m2, 178/178, 7ms, Flicker-Free, VGA, HDMI, HP-out, изящный , с ультра-тонким безрамочным дизайном",9740 Сом
"Monitor LCD 23.5"" Samsung LS24F350FHIXCI Black, PLS, 60Hz, 1920x1080, 250cd/m2, 4ms, D-SUB (VGA), HDMI",9891 Сом
"Монитор Samsung 23.5"" S24F350FHI, FHD 1920x1080 (16:9), Матовый, PLS LED, 1000:1, (1000000:1), 178°/178°, круглая подставка, Flicker Free, 250 cd/m2, 60Hz, 4ms, VGA, HDMI, Black",9891 Сом
"Монитор Samsung 23.5"" S24F356FHI, FHD 1920x1080 (16:9), Матовый, PLS LED, 1000:1, (1000000:1), 178°/178°, тонкая подставка, Flicker Free, 250 cd/m2, 60Hz, 4ms, VGA, HDMI, Black",9891 Сом
"Монитор SAMSUNG LS24F350FHIXCI 23.5"", Черный, частота: 60Гц, матрица PLS с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, разъем D-SUB (VGA), HDMI",9891 Сом
"Монитор Philips 23.8"" 243V7QDSB/01, FHD 1920x1080 (16:9), Матовый, IPS, 1000:1, (10000000:1), 178°/178°, безрамочный, LowBlue, Flickerfree, 250 cd/m2, 75Hz, 4ms, VGA, DVI-D, HDMI, Audio out, Black",10419 Сом
"ASUS 23.8"" VP249HE VA LED 5ms,10000000:1,250 кд/м2, 1920x1080, 178/178 VGA HDMI",10570 Сом
"DELL 23"" S2319H IPS LED 5ms,8000000:1,250 кд/м2,1920 x 1080,178/178 HDMI VGA Speakers 2x3Watt",11476 Сом
"Monitor LCD 23.5"", Samsung LC24F396FHIXCI Curved, 1920x1080, 3000:1, 250cd/m2, 178/178, 4ms, D-Sub, HDMI",11552 Сом
"LED LCD 24"", Samsung S24D590PLX, Black, PLS Full HD 1920x1080, 5000000:1, 250cd/m2, 178°/178°, 5ms, HDMI",11627 Сом
"Монитор SAMSUNG LC24F396FHIXCI 23,5"", Изогнутый Черный, частота: 60Гц, матрица VA с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, AMD FreeSync, разъем D-SUB (VGA), HDMI",11627 Сом
"Монитор SAMSUNG LS24E390HLO/CI 23.6"", Черный, матрица PLS с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, разъем D-SUB (VGA), HDMI",11703 Сом
"AOC 23.8"" LED LCD I2481FXH IPS 4ms,50000000:1,250 кд/м2,1920x1080,178/178,2*HDMI+VGA,SPK",12080 Сом
"LG 24"" LED LCD IPS FullHD 24MP56HQ-T,Black,1920x1080,VGA + HDMI ,WALL (ТОНКАЯ РАМКА-SILVER)",12080 Сом
"Monitor LCD 24"" Samsung LS24E391HLO/CI White, PLS, 60Hz, 1920x1080, 250cd/m2, 4ms, D-SUB (VGA), HDMI",12080 Сом
"Монитор SAMSUNG LS24E391HLO/CI 24"", Белый, матрица PLS с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, разъем D-SUB (VGA), HDMI",12080 Сом
"LED LCD 23.8"", AOC i2481FXH, IPS, Silver, 1920x1080, 50000000:1, 250cd/m2, 178/178, 4ms, VGA, speakers, 2xHDMI",12156 Сом
"PHILIPS 27"" 273V5LSB TN LED WIDE 1920x1080 10000000:1 300cd/m2 5ms VGA DVI-D",12835 Сом
"PHILIPS 27"" 273V5LHAB TN LED WIDE 1920x1080 10000000:1 300cd/m2 5ms VGA DVI-D HDMI",12986 Сом
"Monitor LCD 27"", Viewsonic VA2719-SH, Black, SuperClear IPS, 1920x1080, 1000:1(DCR50000000:1), 300cd/m2, 5ms, 178°/178°, VGA, HDMI, Выход для наушников x 1",13062 Сом
"DAHUA 27"" DH27-F600 LED 16:9/14ms/1000:1/178/178/300cd/m2/1920x1080 FHD VGA HDMI Audio Speakers 24/7",13364 Сом
"AOC 27"" I2779VH IPS LED 5ms,20000000:1,250 кд/м2,1920x1080,178/178 VGA HDMI",13439 Сом
"PHILIPS 27"" 273V7QDAB IPS LED WIDE 1920x1080 10000000:1 250cd/m2 5ms VGA DVI-D HDMI",13439 Сом
"Monitor LCD 27"" AOC 27B1H Black, IPS, 1920x1080, 20M:1, 250cd/m2, 178/178, 7ms, Flicker-Free, VGA, HDMI, выход для наушников, изящный , с ультра-тонким безрамочным дизайном",13590 Сом
"Монитор Asus 27"" VA27EHE, FHD 1920x1080 (16:9), Матовый, Антибликовый, IPS, 1000:1, (100000000:1), 178°/178°, безрамочный, Flicker Free, 250 cd/m2, 75Hz, 5ms, VGA, HDMI, Black",13590 Сом
"Монитор Acer 27"" SA270Abi, FHD 1920x1080 (16:9), Матовый, IPS, 1000:1, (10000000:1), 178°/178°, ультра тонкий 7мм, безрамочный, круглая подставка, Flickerless, 250 cd/m2, 75Hz, 4ms, VGA, HDMI, Black",13968 Сом
"PHILIPS 27"" 273V7QDSB IPS LED 1920x1080 10000000:1 5ms DVI-D HDMI VGA",14043 Сом
"AOC 27"" LED LCD AH-IPS I2769V Black -silver, 1920x1080, H178°/V178°,VGA+DVI,(без рамки),WALL",14345 Сом
"AOC 27"" LED LCD AH-IPS I2779VH Ultra Narrow Edge IPS,16:9 250cd 1920x1080,VGA+HDMI,(без рамки)",14345 Сом
"Монитор Samsung 27"" S27F358FWI, FHD 1920x1080 (16:9), Матовый, PLS LED, 1000:1, (1000000:1), 178°/178°, тонкая подставка, Flicker Free, 250 cd/m2, 60Hz, 4ms, DisplayPort, HDMI, Black",14345 Сом
"DELL 23"" P2319H IPS LED 5ms,8000000:1,250 кд/м2,1920 x 1080,178/178 HDMI VGA 2xUSB3.0",14383 Сом
"AOC 27"" LED LCD AH-IPS I2769VM Black-silver,1920x1080,H178°/V178°,2xHDMI +VGA+DP,spk,(без рамки),WALL",14572 Сом
"ASUS 27"" VX279H IPS 5ms,80000000:1,250 кд/м2, 1920x1080, 178/178 VGA 2xHDMI Speakers 2x1.5Watt",14572 Сом
"LED LCD 27"", Samsung S27F358FWI, PLS, Black, 1920x1080, 75Hz, 50000000:1, 250cd/m2, 178/178, 4ms, HDMI, DisplayPort",14572 Сом
"Monitor LCD 27"" Samsung LS27E391HSX/CI White, PLS, 60Hz, 1920x1080, 300cd/m2, 4ms, D-SUB (VGA), HDMI",14572 Сом
"Monitor LCD 27"" Samsung LS27F358FWIXCI Black, PLS, 60Hz, 1920x1080, 250cd/m2, 4ms, AMD FreeSync, HDMI, Display Port",14572 Сом
"Монитор SAMSUNG LS27E391HSX/CI 27"", Белый, частота: 60Гц, матрица PLS с разрешением 1920×1080, отношением сторон 16:9, яркостью 300кд/м2, временем отклика (GTG) 4мс, разъем D-SUB (VGA), HDMI",14572 Сом
"Монитор SAMSUNG LS27F358FWIXCI 27"", Черный, частота: 60Гц, матрица PLS с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, AMD FreeSync, HDMI, Display Port",14572 Сом
"AOC 27"" i2769VM IPS LED 6ms,20000000:1,250 кд/м2,1920 x 1080,178/178 VGA DP HDMI x2",14609 Сом
"PHILIPS 27"" 276E9QSB IPS LED WIDE 1920x1080 10000000:1 250cd/m2 5ms DVI-D VGA",14874 Сом
"AOC 27"" I2790VQ IPS LED 4ms,20000000:1,250 кд/м2,1920 x 1080,178/178 2x2Watt Speakers VGA HDMI DP",14949 Сом
"LED LCD 27"", AOC i2779VH, IPS, 1920x1080, 170MHz, 50000000:1, 250cd/m2, 178/178, 4ms, VGA, HDMI",14949 Сом
"PHILIPS 27"" 276E7QDSB PLS LED WIDE 1920x1080 10000000:1 250cd/m2 5ms DVI-D VGA HDMI MHL",15251 Сом
"PHILIPS 27"" 274E5QHSB IPS LED WIDE 1920x1080 20000000:1 250cd/m2 5ms HDMI VGA MHL",15327 Сом
"Монитор SAMSUNG LC27F396FHIXCI 27"", Изогнутый Черный, частота: 60Гц, матрица VA с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, AMD FreeSync, разъем D-SUB (VGA), HDMI",15327 Сом
"DAHUA 31.5"" DHL32-F600 LED 16:9/5ms/1200:1/178/178/300cd/m2/1920x1080 FullHD VGA 2HDMI Audio in/out",15553 Сом
"Монитор Asus 27"" VZ279HE, FHD 1920x1080 (16:9), Матовый, Антибликовый, IPS, 1000:1, (80000000:1), 178°/178°, ультра тонкий 7мм, безрамочный, круглая подставка, Flicker Free, 250 cd/m2, 75Hz, 5ms, VGA, 2xHDMI, Black",15553 Сом
"PHILIPS 27"" 276E9QDSB IPS LED WIDE 1920x1080 10000000:1 250cd/m2 5ms FreeSync DVI-D VGA HDMI",15704 Сом
"Monitor LCD 27"", Samsung LC27F396FHIXCI Curved, 1920x1080, 3000:1, 250cd/m2, 178/178, 4ms, HDMI,D-Sub",16308 Сом
"19"" TOUCH-monitor LED LCD TY-199, Samsung E-TouchGalax,Glass Pro-lite, finger-touch, 4:3,1024x768,VGA,USB 2.0-3.0",16384 Сом
"AOC 27"" i2781FH IPS LED 4ms,50000000:1,250 кд/м2,1920 x 1080,178/178 VGA HDMI",16421 Сом
"LED LCD 27"", AOC i2781FH, IPS, Silver, 1920x1080, 170MHz, 50000000:1, 250cd/m2, 178/178, 4ms, VGA, 2xHDMI",16459 Сом
"HP 27m 27"" 3WL48AA IPS LED 5ms 10000000:1,250 кд/м2,1920 x 1080,178/178 HDMI VGA",16761 Сом
"PHILIPS 27"" 276E7QDAB IPS LED WIDE 1920x1080 20000000:1 5ms DVI-D HDMI VGA MHL",18120 Сом
"DELL 27"" S2719H IPS WLED 5ms,8000000:1,250 кд/м2,1920 x 1080,178/178 HDMI Speakers 2x5Watt",18347 Сом
"PHILIPS 27"" 278E8QJAB CURVED VA WIDE 1920x1080 20000000:1 4ms DP HDMI VGA Speakers 2x3Watt",19328 Сом
"Monitor LCD 27"" Samsung LC27F591FDIXCI Silver, Curved, VA, 60Hz, 1920x1080, 250cd/m2, 4ms, AMD FreeSync, speakers, разъем D-SUB (VGA), HDMI, Display Port",19781 Сом
"Монитор SAMSUNG LC27F591FDIXCI 27"", Изогнутый Серый, частота: 60Гц, матрица VA с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, AMD FreeSync, встроенными динамиками, разъем D-SUB (VGA), HDMI, Display Port",19781 Сом
"AOC 24"" G2460PF TN LED 1ms,80000000:1,350 кд/м2,1920x1080,146Hrz,170/160 DVI VGA HDMI DP 4xUSB",20045 Сом
"Monitor LCD 32"" Samsung LC32F391FDIXCI White, Curved, VA, 60Hz, 1920x1080, 250cd/m2, 4ms, AMD FreeSync, speakers, HDMI, Display Port",20159 Сом
"Монитор SAMSUNG LC32F391FDIXCI 32"", Изогнутый Белый, частота: 60Гц, матрица VA с разрешением 1920×1080, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, AMD FreeSync, встроенными динамиками, HDMI, Display Port",20536 Сом
"DELL 24"" P2418D IPS LED 5ms,8000000:1,300 кд/м2,2560x1440,178/178 HDMI DP USB 3.0",20687 Сом
"AOC 24"" G2460PF GAMING 144Hz Black-Red,TFT-TN1920x1080,1ms,HDMI+DP+DVI+VGA,pivot+swivel,audiojack ,4USB",20914 Сом
"Monitor LCD 27"" Viewsonic XG2702, Black, 144Ghz, 1920x1080, 120M:1, 350cd/m2, 170/160, 1ms, 2xHDMI, DP, HP-Out, USB3.0, встроенные колонки 2x2W",21669 Сом
"AOC 27"" C27G1 CURVED TFT VA LED 1ms, 20000000:1, 250 кд/м2, 1920x1080, 144Hrz, 178/178 VGA HDMI DP",22424 Сом
"Monitor LCD 27"", Viewsonic VX2758-P-MHD Black, 1920x1080, 144Hz, 1000:1 (80000000:1), 300cd/m2, 1ms, 170°/160°, speakers, 2HDMI, DP, Audio-out",22424 Сом
"DELL 27"" P2719H IPS WLED 5ms,8000000:1,300 кд/м2,1920 x 1080,178/178 HDMI DP USB 3.0",22575 Сом
"Монитор SAMSUNG LU28E590DS/CI 28"", Черный, частота: 60Гц, матрица TN+film с разрешением 3840×2160, отношением сторон 16:9, яркостью 370кд/м2, временем отклика (GTG) 1мс, AMD FreeSync, HDMI, Display Port",23556 Сом
"ASUS 32"" VA326HR CURVED TFT TN 4ms/100000000:1 300kd/m2 178/178 1920x1080 FHD 144Hrz HDMI,VGA",25142 Сом
"ASUS 27"" VG278QR TFT TN 1ms/100000000:1 400kd/m2 170/160 1920x1080 FHD 165Hrz HDMI,DP,DVI",26576 Сом
"Monitor LCD 27"" Samsung LC27RG50FQIXCI Black, Curved, VA, 240Hz, 1920x1080, 300cd/m2, 4ms, NVIDIA G-Sync, HDMI, Display Port",28237 Сом
"Игровой Монитор SAMSUNG LC27RG50FQIXCI 27"", Изогнутый Черный, частота: 240Гц, матрица VA с разрешением 1920×1080, отношением сторон 16:9, яркостью 300кд/м2, временем отклика (GTG) 4мс, NVIDIA G-Sync, HDMI, Display Port",28237 Сом
"BenQ ZOWIE 27"" XL2720 e-Sports TFT TN 1ms/100000000:1 300kd/m2 170/160 FHD 144Hrz VGA,DVI ,DP,HDMI",29596 Сом
"ASUS 27"" XG27VQ TFT VA 4ms/100000000:1 300kd/m2 178/178 1920x1080 FHD 144Hrz HDMI,DP,DVI",31106 Сом
"DELL 27"" S2719DGF TN WLED 1ms,8000000:1,250 кд/м2,2560x1440,170/160 155Hz HDMI DP USB3.0",32163 Сом
"ASUS 27"" VG27AQ IPS 1ms/100000000:1 350kd/m2 170/160 2560x1440 WQHD 165Hrz 2xHDMI,DP",33296 Сом
"AOC 32"" CQ32G1 CURVED TFT VA LED 1ms, 80000000:1, 300 кд/м2, 2560x1440, 144Hrz, 178/178 HDMI DP",33598 Сом
"Monitor LCD 31.5"", Viewsonic VX3211-4K-MHD, Black, 3840x2160 (UHD), 3000:1 (80000000:1), 300cd/m2, 3ms, 178°/178°, speakers (2x2.5W), 2HDMI, DP, Headset-out",33749 Сом
"Monitor LCD 31.5"", Viewsonic VX3211-4K-MHD, Black, 3840x2160 (UHD), 3000:1 (80000000:1), 300cd/m2, 3ms, 178°/178°, speakers (2x2.5W), 2HDMI, DP, Headset-out + Наушники A4Tech Bloody G500, Black/Red, 20-20000Ghz, 100dB, 2 x mini jack 3.5 mm",34126 Сом
"Монитор SAMSUNG LU32R590CWIXCI 31.5"", Изогнутый Черный, частота: 60Гц, матрица VA с разрешением 3840×2160, отношением сторон 16:9, яркостью 250кд/м2, временем отклика (GTG) 4мс, HDMI, Display Port",34504 Сом
"Monitor LCD 32"" Samsung LU32R590CWIXCI Black, Curved, VA, 60Hz, 3840×2160, 250cd/m2, 4ms, HDMI, Display Port",34655 Сом
"Monitor LCD 32"" Samsung LC32H711QEIXCI White, Curved, VA, 60Hz, 2560×1440, 300cd/m2, 4ms, HDMI",34881 Сом
"Монитор SAMSUNG LC32H711QEIXCI 32"", Изогнутый Белый, частота: 60Гц, матрица VA с разрешением 2560×1440, отношением сторон 16:9, яркостью 300кд/м2, временем отклика (GTG) 4мс, HDMI",34881 Сом
"ASUS 27"" VG279QM IPS 1ms/100000000:1 400kd/m2 178/178 1920x1080 FHD 280Hrz 2xHDMI,DP",35561 Сом
".LG 34"" 34UC79G CURVED IPS LED 5ms/5000000:1/178/178/2560x1080 UltraWide 144Hrz,HDMIx2,DP,USB",36316 Сом
"ASUS 32"" VG32VQ CURVED TFT VA 4ms/100000000:1 400kd/m2 178/178 2560x1440 144Hrz USB-Hub,HDMI,DP",36618 Сом
"Монитор LG 27"" 27UD58-B, 4K UHD 3840x2160 (16:9), 60Hz, IPS, 10bit(8bit + A-FRC), Anti-Glare, 1000:1 (5000000:1), 178°/178°, 250 cd/m2, 5ms, HDMI 2.0 x2, DisplayPort 1.2, Audio out, Регулировка наклона 17°, AMD FreeSync, Flicker-Safe, Black",36769 Сом
"BenQ 32"" EX3200R CURVED TFT VA 4ms/200000000:1 300kd/m2 178/178 FHD 144Hrz mDP, DP, HDMI",36995 Сом
"Monitor LCD 27"", Acer VG270Kbmiipx IPS,3840x2160 Radeon™FreeSync4,178°, 178°, 2xHDMI,DP,1ms (VRB), 300cd㎡, HDR Ready,1000:1, Low Blue Light, 4W Speakers",37524 Сом
"BenQ 32"" EX3203R CURVED TFT VA 4ms/200000000:1 400kd/m2 178/178 2560x1440 144Hrz USB, DP, HDMI",38203 Сом
"ASUS 32"" XG32VQ CURVED TFT VA 4ms/100000000:1 300kd/m2 178/178 2560x1440 144Hrz USB-Hub,HDMI,DP,mDP",40695 Сом
"ASUS 27"" MG279Q GAMING TFT IPS 4ms/100000000:1 350kd/m2 178/178 2560x1440 144Hrz HDMI,DP,mDP",41827 Сом
